task_id,arrival_time,duration_steps,cpu_cores,gpu_units,memory_gb,deadline_time,priority,deferrable
task-00244,2026-01-01T19:00:00+08:00,1,160.0,8.0,96.0,2026-01-01T19:30:00+08:00,3,False
task-00245,2026-01-01T19:15:00+08:00,2,20.0,0.0,64.0,2026-01-01T19:45:00+08:00,4,False
task-00246,2026-01-01T19:15:00+08:00,6,120.0,12.0,96.0,2026-01-01T20:45:00+08:00,2,False
task-00247,2026-01-01T19:30:00+08:00,1,80.0,0.0,32.0,2026-01-01T20:30:00+08:00,1,True
task-00248,2026-01-01T19:30:00+08:00,3,40.0,0.0,64.0,2026-01-01T20:30:00+08:00,5,True
task-00249,2026-01-01T19:30:00+08:00,2,60.0,0.0,192.0,2026-01-01T21:00:00+08:00,5,True
task-00250,2026-01-01T19:30:00+08:00,2,20.0,0.0,128.0,2026-01-01T20:00:00+08:00,3,False
task-00251,2026-01-01T19:30:00+08:00,2,20.0,16.0,32.0,2026-01-01T20:30:00+08:00,3,True
task-00252,2026-01-01T19:45:00+08:00,2,120.0,0.0,32.0,2026-01-01T20:30:00+08:00,0,True
task-00253,2026-01-01T19:45:00+08:00,6,160.0,8.0,256.0,2026-01-01T21:30:00+08:00,1,True
task-00254,2026-01-01T20:00:00+08:00,2,20.0,16.0,64.0,2026-01-01T20:30:00+08:00,0,False
task-00255,2026-01-01T20:15:00+08:00,1,160.0,0.0,96.0,2026-01-01T21:15:00+08:00,0,True
task-00256,2026-01-01T20:15:00+08:00,4,20.0,12.0,256.0,2026-01-01T21:15:00+08:00,2,False
task-00257,2026-01-01T20:15:00+08:00,2,20.0,0.0,32.0,2026-01-01T22:45:00+08:00,2,True
task-00258,2026-01-01T20:15:00+08:00,1,120.0,8.0,64.0,2026-01-01T21:15:00+08:00,4,True
task-00259,2026-01-01T20:15:00+08:00,2,40.0,0.0,96.0,2026-01-01T20:45:00+08:00,5,False
task-00260,2026-01-01T20:30:00+08:00,2,40.0,4.0,32.0,2026-01-01T21:30:00+08:00,4,False
task-00261,2026-01-01T20:30:00+08:00,1,120.0,0.0,32.0,2026-01-01T22:45:00+08:00,1,True
task-00262,2026-01-01T20:30:00+08:00,1,60.0,0.0,32.0,2026-01-01T21:00:00+08:00,3,True
task-00263,2026-01-01T20:45:00+08:00,1,120.0,0.0,64.0,2026-01-01T21:30:00+08:00,0,True
task-00264,2026-01-01T20:45:00+08:00,4,40.0,16.0,192.0,2026-01-02T00:45:00+08:00,4,True
task-00265,2026-01-01T20:45:00+08:00,4,160.0,0.0,32.0,2026-01-01T22:00:00+08:00,0,True
task-00266,2026-01-01T21:00:00+08:00,2,60.0,12.0,64.0,2026-01-02T00:30:00+08:00,4,True
task-00267,2026-01-01T21:00:00+08:00,4,40.0,8.0,64.0,2026-01-01T23:00:00+08:00,1,True
task-00268,2026-01-01T21:00:00+08:00,1,160.0,16.0,128.0,2026-01-01T21:45:00+08:00,3,True
task-00269,2026-01-01T21:15:00+08:00,2,60.0,0.0,256.0,2026-01-01T23:15:00+08:00,2,True
task-00270,2026-01-01T21:30:00+08:00,2,80.0,0.0,64.0,2026-01-01T22:45:00+08:00,2,True
task-00271,2026-01-01T21:30:00+08:00,1,80.0,16.0,32.0,2026-01-01T22:00:00+08:00,5,False
task-00272,2026-01-01T21:30:00+08:00,2,20.0,0.0,256.0,2026-01-01T23:00:00+08:00,1,True
task-00273,2026-01-01T21:30:00+08:00,1,40.0,4.0,64.0,2026-01-02T00:45:00+08:00,4,True
task-00274,2026-01-01T21:45:00+08:00,2,60.0,0.0,256.0,2026-01-01T22:45:00+08:00,2,True
task-00275,2026-01-01T22:15:00+08:00,1,40.0,0.0,32.0,2026-01-02T01:30:00+08:00,4,True
task-00276,2026-01-01T22:15:00+08:00,2,40.0,0.0,96.0,2026-01-01T22:45:00+08:00,0,False
task-00277,2026-01-01T22:15:00+08:00,6,40.0,4.0,64.0,2026-01-02T00:45:00+08:00,5,True
task-00278,2026-01-01T22:45:00+08:00,2,40.0,8.0,96.0,2026-01-01T23:15:00+08:00,2,False
task-00279,2026-01-01T22:45:00+08:00,3,60.0,0.0,64.0,2026-01-02T00:15:00+08:00,2,True
task-00280,2026-01-01T23:00:00+08:00,2,40.0,16.0,192.0,2026-01-02T01:00:00+08:00,5,True
task-00281,2026-01-01T23:15:00+08:00,1,120.0,0.0,192.0,2026-01-02T00:00:00+08:00,3,False
task-00282,2026-01-01T23:30:00+08:00,1,160.0,4.0,256.0,2026-01-02T01:45:00+08:00,3,True
task-00283,2026-01-01T23:45:00+08:00,6,20.0,0.0,64.0,2026-01-02T02:15:00+08:00,2,True
